"Action","Action"
"An error occurred while writing to the backup file ""%s"".","Erreur lors de l'écriture dans le fichier de sauvegarde ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Impossible de lire ou d'écrire dans le fichier de sauvegarde ""%s""."
"Backup file ""%s"" does not exist.","Le fichier de sauvegarde ""%s"" n'existe pas."
"Backup file does not exist.","Le fichier de sauvegarde n'existe pas."
"Backup file handler was unspecified.","Le gestionnaire de fichier de sauvegarde n'a pas été spécifié."
"Backup file path was not specified.","Le chemin du fichier de sauvegarde n'a pas été spécifié."
"Backups","Sauvegardes"
"Cannot read backup file.","Impossible de lire le fichier de sauvegarde."
"Create Backup","Créer une sauvegarde"
"DB","BDD"
"Database was successfuly backed up.","La base de données a été sauvegardée avec succès !"
"Download","Télécharger"
"Size, Bytes","Taille en octets"
"The file was compressed with Zlib, but this extension is not installed on server.","Le fichier a été compressé avec Zlib, mais cette extension n'est pas installée sur le serveur."
"Time","Heure"
"Type","Type"
"Unable to create backup. Please, try again later.","Impossible de faire une sauvegarde. Veuillez réessayer ultérieurement."
"Wrong order of creation for new backup.","Ordre de création erroné pour la nouvelle sauvegarde."