"%name% '%value%' is too long. It must has length %min% symbols.",""
"%name% '%value%' is too short. It must has length %min% symbols.",""
"* Required Fields","* Champs obligatoires"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> nécessite l'accès à votre compte"
"Admin","Administration"
"After authorization application will have access to you account.","Après l'autorisation, l'application aura accès à votre compte."
"An error occurred on confirm authorize.",""
"An error occurred on delete action.",""
"An error occurred on delete application.",""
"An error occurred on reject authorize.",""
"An error occurred on saving consumer data.",""
"An error occurred on update revoke status.",""
"An error occurred while deleting the consumer.",""
"An error occurred.",""
"An error occurred. Your authorization request is invalid.",""
"App Name","Nom de l'appli"
"Application ""%s"" has been deleted.",""
"Application ""%s"" has been enabled.",""
"Application ""%s"" has been revoked.",""
"Application Name","Nom de l'application"
"Application not found.",""
"Are you sure you want to delete this application?",""
"Are you sure you want to disable this application?",""
"Are you sure you want to enable this application?",""
"Authorization confirmed","Autorisation confirmée"
"Authorization confirmed.",""
"Authorize","Autoriser"
"Authorize application","Autoriser l'application"
"Authorized Tokens",""
"Callback URL",""
"Cleanup Probability",""
"Cleanup Settings",""
"Close","Fermer"
"Confirm OAuth token authorization",""
"Confirm token authorization Pop Up for admin","Pop up de confirmation d'autorisation de jeton pour l'admin"
"Confirm token authorization for admin","Confirmation d'autorisation de jeton pour l'admin"
"Confirmation Of Authorization","Confirmation de l'autorisation"
"Consumer Information",""
"Consumer Name",""
"Consumers",""
"Created At","Créé le"
"Customer","Client"
"Customer My Account My OAuth Applications",""
"Delete","Supprimer"
"Disable","Désactiver"
"Disabled","Désactivé"
"Edit","Éditer"
"Edit Consumer",""
"Email","Email"
"Email Address","Adresse mail"
"Enable","Activer"
"Enabled","Activé"
"Entry with ID #%s not found.",""
"Expiration Period",""
"Give the verifier code to application administrator","Donner le code de vérification à l'administrateur de l'application"
"ID","ID"
"Invalid Callback URL",""
"Invalid ID parameter.",""
"Invalid Rejected Callback URL",""
"Invalid entry ID.",""
"Invalid revoke status.",""
"Key","Clé"
"Log In","Connexion"
"Log in as a customer",""
"Log in as admin",""
"Log in as customer",""
"Log in to use <strong>%s</strong>","Connectez-vous pour utiliser <strong>%s</strong>"
"Login","Connexion"
"My Applications","Mes applications"
"Name","Nom"
"New Consumer",""
"OAuth",""
"OAuth Admin My Apps",""
"OAuth Authorized Tokens",""
"OAuth Consumers","Consommateur d'OAuth"
"OAuth authorization Pop Up for customer",""
"OAuth authorization for admin","Autorisation OAuth pour l'admin"
"OAuth authorization for customer",""
"OAuth authorization simple for admin","Autorisation OAuth simple pour l'admin"
"Password","Mot de passe"
"Permissions","Permissions"
"Please login to proceed authorization.",""
"Please select needed row(s).",""
"Please select revoke status.",""
"REST - My Apps",""
"REST - OAuth Authorized Tokens",""
"REST - OAuth Consumers",""
"Reject","Rejeter"
"Reject OAuth token authorization",""
"Reject authorization",""
"Reject token authorization Pop Up for admin","Pop up de refus d'autorisation de jeton pour l'admin"
"Reject token authorization for admin","Refus d'autorisation de jeton pour l'admin"
"Rejected Callback URL",""
"Rejection Of Authorization","Refus d'autorisation"
"Revoked",""
"Role Name","Nom du rôle"
"Save","Sauvegarder"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Secret",""
"Selected entries enabled.",""
"Selected entries has been deleted.",""
"Selected entries revoked.",""
"Status","Statut"
"System","Système"
"The application access request is rejected.",""
"The consumer has been deleted.",""
"The consumer has been saved.",""
"Token Status Change",""
"Token Status Change Email Template",""
"Unable to find a consumer.",""
"User ID","ID utilisateur"
"User Name","Nom d'utilisateur"
"User Type","Type d'utilisateur"
"Verifier code: %s","Code de vérification : %s"
"You have no applications.",""
"deleted",""
"enabled",""
"revoked",""